Order_NBR,LineNumber,StockCode,MaxOutTote,Splittable,IsSpecialPick,PickingType,Ordered_Qty,quantity,UnitWeightGrams,UnitVolumeCubicCm,PickingZone,Aisle_Location,Bay_Location,Ailse_Bay_Concat,TransitID,Truck,TrolleyID,TrayHeaderID,DeliveryStartDateTime_local
302949505,41,139645,FALSE,FALSE,FALSE,Normal,2.0,2.0,518.0,9243.52,Chilled,23,19,23_19,1030-AM-0745_cf9ba90,1030-AM-0745_cf9ba90,238873338,1090050761,2026-04-28 10:00:00 UTC
303175063,4,139806,FALSE,FALSE,FALSE,Normal,4.0,4.0,1496.0,2900.56,Chilled,28,22,28_22,1030-AM-0515_4683df2,1030-AM-0515_4683df2,238867219,1090050455,2026-04-28 05:00:00 UTC
303843236,24,180752,FALSE,FALSE,FALSE,Normal,1.0,1.0,778.0,5866.56,Freezer,30,8,30_8,1030-AM-0515_4683df2,1030-AM-0515_4683df2,238858398,1090050884,2026-04-28 05:00:00 UTC
303553851,15,33637,FALSE,FALSE,FALSE,Normal,2.0,2.0,1070.0,1191.81,Ambient,2,14,2_14,1030-AM-0630_6a9601e,1030-AM-0630_6a9601e,238678222,1089359381,2026-04-27 11:00:00 UTC
303849153,5,390875,FALSE,FALSE,FALSE,Normal,1.0,1.0,207.0,1608.16,Ambient,8,22,8_22,1030-AM-0545_9c9ffee,1030-AM-0545_9c9ffee,238865974,1090050885,2026-04-28 09:00:00 UTC
303552094,30,138801,FALSE,FALSE,FALSE,Normal,1.0,1.0,1003.0,3868.62,Chilled,28,18,28_18,1030-AM-0545_9c9ffee,1030-AM-0545_9c9ffee,238873849,1090050768,2026-04-28 11:00:00 UTC
302666153,18,113616,FALSE,FALSE,FALSE,Normal,1.0,1.0,1067.0,2464.97,Chilled,23,20,23_20,1030-AM-0545_9c9ffee,1030-AM-0545_9c9ffee,238867219,1090050447,2026-04-28 06:00:00 UTC
302818062,8,117080,FALSE,FALSE,FALSE,Normal,2.0,2.0,414.0,1135.68,Ambient,5,6,5_6,1030-AM-0515_4683df2,1030-AM-0515_4683df2,238855628,1090050755,2026-04-28 05:00:00 UTC
302666125,24,262173,FALSE,FALSE,FALSE,Normal,1.0,1.0,249.0,303.15,Ambient,11,61,11_61,1030-AM-0515_4683df2,1030-AM-0515_4683df2,238856028,1090050471,2026-04-28 06:00:00 UTC
302818017,21,717518,FALSE,FALSE,FALSE,Normal,1.0,1.0,957.0,2190.89,Chilled,14,24,14_24,1030-AM-0545_9c9ffee,1030-AM-0545_9c9ffee,238873466,1090050710,2026-04-28 10:00:00 UTC
303797928,41,231194,FALSE,FALSE,FALSE,Normal,1.0,1.0,772.0,1990.16,Freezer,13,29,13_29,1030-AM-0545_9c9ffee,1030-AM-0545_9c9ffee,238874235,1090050901,2026-04-28 09:00:00 UTC
302949505,23,169531,FALSE,FALSE,FALSE,Normal,4.0,4.0,183.0,450.53,Chilled,14,22,14_22,1030-AM-0745_cf9ba90,1030-AM-0745_cf9ba90,238873338,1090050761,2026-04-28 10:00:00 UTC
303849153,14,729026,FALSE,FALSE,FALSE,Normal,1.0,1.0,514.0,2712.0,Chilled,14,43,14_43,1030-AM-0545_9c9ffee,1030-AM-0545_9c9ffee,238873466,1090050889,2026-04-28 09:00:00 UTC
302666125,5,36009,FALSE,FALSE,FALSE,Normal,1.0,1.0,254.0,1152.54,Ambient,3,32,3_32,1030-AM-0515_4683df2,1030-AM-0515_4683df2,238856028,1090050471,2026-04-28 06:00:00 UTC
303271076,9,436516,FALSE,FALSE,FALSE,Normal,1.0,1.0,1032.0,1392.3,Chilled,14,22,14_22,1030-AM-0515_4683df2,1030-AM-0515_4683df2,238860272,1090050703,2026-04-28 11:00:00 UTC
302666189,41,333586,FALSE,FALSE,FALSE,Normal,1.0,1.0,22.0,109.87,Ambient,10,56,10_56,1030-AM-0545_9c9ffee,1030-AM-0545_9c9ffee,238855628,1090050679,2026-04-28 06:00:00 UTC
303602255,35,385085,FALSE,FALSE,FALSE,Normal,1.0,1.0,1048.0,3846.96,Ambient,28,35,28_35,1030-AM-0530_48791cc,1030-AM-0530_48791cc,238671840,1089359405,2026-04-27 09:00:00 UTC
303602255,34,147981,FALSE,FALSE,FALSE,Normal,1.0,1.0,246.0,1237.6,Chilled,23,7,23_7,1030-AM-0530_48791cc,1030-AM-0530_48791cc,238680690,1089359407,2026-04-27 09:00:00 UTC
